zoneName,gmtOffset,gmtOffsetName,abbreviation,tzName
Europe/Zurich,3600,UTC+01:00,CET,Central European Time
Asia/Damascus,7200,UTC+02:00,EET,Eastern European Time
Asia/Taipei,28800,UTC+08:00,CST,China Standard Time
Asia/Dushanbe,18000,UTC+05:00,TJT,Tajikistan Time
Africa/Dar_es_Salaam,10800,UTC+03:00,EAT,East Africa Time
Asia/Bangkok,25200,UTC+07:00,ICT,Indochina Time
America/Nassau,-18000,UTC-05:00,EST,Eastern Standard Time (North America)
Africa/Lome,0,UTC\u00b100,GMT,Greenwich Mean Time
Pacific/Fakaofo,46800,UTC+13:00,TKT,Tokelau Time
Pacific/Tongatapu,46800,UTC+13:00,TOT,Tonga Time
America/Port_of_Spain,-14400,UTC-04:00,AST,Atlantic Standard Time
Africa/Tunis,3600,UTC+01:00,CET,Central European Time
Europe/Istanbul,10800,UTC+03:00,EET,Eastern European Time
Asia/Ashgabat,18000,UTC+05:00,TMT,Turkmenistan Time
America/Grand_Turk,-18000,UTC-05:00,EST,Eastern Standard Time (North America
Pacific/Funafuti,43200,UTC+12:00,TVT,Tuvalu Time
Africa/Kampala,10800,UTC+03:00,EAT,East Africa Time
Europe/Kiev,7200,UTC+02:00,EET,Eastern European Time
Asia/Dubai,14400,UTC+04:00,GST,Gulf Standard Time
Europe/London,0,UTC\u00b100,GMT,Greenwich Mean Time
America/Adak,-36000,UTC-10:00,HST,Hawaii\u2013Aleutian Standard Time
Pacific/Midway,-39600,UTC-11:00,SST,Samoa Standard Time
America/Montevideo,-10800,UTC-03:00,UYT,Uruguay Standard Time
Asia/Samarkand,18000,UTC+05:00,UZT,Uzbekistan Time
Pacific/Efate,39600,UTC+11:00,VUT,Vanuatu Time
Europe/Vatican,3600,UTC+01:00,CET,Central European Time
America/Caracas,-14400,UTC-04:00,VET,Venezuelan Standard Time
Asia/Ho_Chi_Minh,25200,UTC+07:00,ICT,Indochina Time
America/Tortola,-14400,UTC-04:00,AST,Atlantic Standard Time
America/St_Thomas,-14400,UTC-04:00,AST,Atlantic Standard Time
Pacific/Wallis,43200,UTC+12:00,WFT,Wallis & Futuna Time
Africa/El_Aaiun,3600,UTC+01:00,WEST,Western European Summer Time
Asia/Aden,10800,UTC+03:00,AST,Arabia Standard Time
Africa/Lusaka,7200,UTC+02:00,CAT,Central Africa Time
Africa/Harare,7200,UTC+02:00,CAT,Central Africa Time
